,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,NoDisponible,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
56,Ursus americanus,147250,-102.5519827,28.9779644,,False,4,37.65,Mammalia,Carnivora,Ursidae,1916,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5881f235ba4e7c9675fa0092c0e7b0d2,5881f235ba4e7c9675fa0092c0e7b0d2,No,NoDisponible,,,,,,,
108,Ursus americanus,166070,-100.2703652,25.5496272,,False,4,40.18,Mammalia,Carnivora,Ursidae,707,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59993f705aca64d8059d4d73b07994a8,59993f705aca64d8059d4d73b07994a8,No,NoDisponible,,,,,,,
10,Ursus americanus,128203,-104.925,27.125,,False,3,0.52,Mammalia,Carnivora,Ursidae,1383,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a55d9b4ce014b2ceae750bb089bfb4e,5a55d9b4ce014b2ceae750bb089bfb4e,Si,NoDisponible,No,No,Si,,,,
60,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b92b44d877c89f50ae09d188392a2e8,5b92b44d877c89f50ae09d188392a2e8,No,NoDisponible,,,,,,,
106,Ursus americanus,166070,-100.2703874,25.5498555,,False,4,40.18,Mammalia,Carnivora,Ursidae,707,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5eb4acc6938f08737d181d1f713b81e0,5eb4acc6938f08737d181d1f713b81e0,No,NoDisponible,,,,,,,
5,Ursus americanus,101397,-108.6208333,30.5494444,,False,4,29.4,Mammalia,Carnivora,Ursidae,2610,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f298a67f5c55b89238724ab47999b59,5f298a67f5c55b89238724ab47999b59,No,NoDisponible,,,,,,,
152,Ursus americanus,166037,-100.6077778,25.4616667,,False,4,30.36,Mammalia,Carnivora,Ursidae,2297,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=617a36e553dfc07a929defd90af2eba6,617a36e553dfc07a929defd90af2eba6,No,NoDisponible,,,,,,,
57,Ursus americanus,147250,-102.5519827,28.9779644,,False,4,37.65,Mammalia,Carnivora,Ursidae,1916,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6465b81381f5c8fd86eb3512ebccf973,6465b81381f5c8fd86eb3512ebccf973,No,NoDisponible,,,,,,,
53,Ursus americanus,114677,-106.644236,29.5666538,,False,3,20.22,Mammalia,Carnivora,Ursidae,1759,Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=670f6544776f55facc6acb603c0439e6,670f6544776f55facc6acb603c0439e6,Si,NoDisponible,No,No,Si,,,,
26,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67b95958cbb2026d4352bf92f7036193,67b95958cbb2026d4352bf92f7036193,No,NoDisponible,,,,,,,
