,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
43,Eptesicus furinalis,252446,-89.475,20.2583333,,False,3,10.06,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=abdec52496c04963e44fd7b62a540092,abdec52496c04963e44fd7b62a540092,No,NoDisponible,,,,,
134,Eptesicus furinalis,199642,-96.4327778,18.4616667,,False,3,18.79,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=aca0c7d83ff683aa1ebf9124fc5ae69a,aca0c7d83ff683aa1ebf9124fc5ae69a,No,NoDisponible,,,,,
54,Eptesicus furinalis,213663,-94.5764,18.0086,,False,3,20.36,Mammalia,Chiroptera,Vespertilionidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b0f90d1a236b0ee60d183c7706e02c31,b0f90d1a236b0ee60d183c7706e02c31,No,NoDisponible,,,,,
131,Eptesicus furinalis,235322,-91.519363,18.445601,,False,3,17.37,Mammalia,Chiroptera,Vespertilionidae,8,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b11bd234783c777f324339ae3e0d6fbc,b11bd234783c777f324339ae3e0d6fbc,No,NoDisponible,,,,,
26,Eptesicus furinalis,230976,-92.0255556,17.4913889,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,65,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b168a204c5b0aa8476b5c0a0b9c41ab1,b168a204c5b0aa8476b5c0a0b9c41ab1,No,NoDisponible,,,,,
61,Eptesicus furinalis,226866,-92.7849498,18.488,,False,3,16.46,Mammalia,Chiroptera,Vespertilionidae,5,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b26e9ff87774ddaff5073d04624cbba2,b26e9ff87774ddaff5073d04624cbba2,No,NoDisponible,,,,,
125,Eptesicus furinalis,208935,-95.0513889,17.1988889,,False,3,23.42,Mammalia,Chiroptera,Vespertilionidae,49,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5010df2d7dc75a5ea2e0d6c7425ba57,b5010df2d7dc75a5ea2e0d6c7425ba57,No,NoDisponible,,,,,
27,Eptesicus furinalis,230976,-92.0255556,17.4913889,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,65,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b54c4c1abcf408b4101975c4827fed33,b54c4c1abcf408b4101975c4827fed33,No,NoDisponible,,,,,
95,Eptesicus furinalis,252549,-89.6519444,20.9483333,,False,3,14.73,Mammalia,Chiroptera,Vespertilionidae,15,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b597c762039474ba1151f522e68daaac,b597c762039474ba1151f522e68daaac,No,NoDisponible,,,,,
138,Eptesicus furinalis,230984,-92.4758333,17.7580556,,False,3,20.64,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b699a8359c540deae306869c55ba18d5,b699a8359c540deae306869c55ba18d5,No,NoDisponible,,,,,
124,Eptesicus furinalis,194836,-97.0259944,19.0078333,,False,3,10.47,Mammalia,Chiroptera,Vespertilionidae,1320,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b83e95b9cb57ee11234b041bcd19461a,b83e95b9cb57ee11234b041bcd19461a,No,NoDisponible,,,,,
102,Eptesicus furinalis,252550,-89.6391667,21.0288889,,False,3,14.82,Mammalia,Chiroptera,Vespertilionidae,16,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b9620c1de8929533f06fae5872942ff8,b9620c1de8929533f06fae5872942ff8,No,NoDisponible,,,,,
62,Eptesicus furinalis,226866,-92.7849498,18.488,,False,3,16.46,Mammalia,Chiroptera,Vespertilionidae,5,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b9c3947cefe38338985c5ce0ad4c3978,b9c3947cefe38338985c5ce0ad4c3978,No,NoDisponible,,,,,
